"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_12_thread.csv",,,,"Date:","13 May 2019 18:07:15 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
22.011,4.359,71.695,1.935,0,877992.858,34670881.761,0,0,234.517,890.494,9656.101,28078.038,1,0,165.778,8056647680,19043786752,2168582144,34948435968,234.517,890.494,877992.858,34670881.761,9656.101,28078.038,22.011,4.359,71.695,1.935,0
4.890,2.321,92.582,0.207,0,188416,2121728,688,688,0,0,6978,12059,1,1,172,8122220544,18982944768,2168614912,34944815104,0,0,188416,2121728,6978,12059,4.853,2.281,92.659,0.207,0
4.276,2.076,93.524,0.125,0,12288,3166208,1248,1248,0,0,10123,15880,2,0,258,8139849728,18975277056,2168639488,34938380288,0,0,12288,3166208,10134,15898,4.274,2.075,93.527,0.124,0
3.512,3.802,92.562,0.124,0,20480,2736128,1872,1872,0,0,11031,17535,1,0,301,8123879424,19858116608,2168672256,34080595968,0,0,20480,2736128,11022,17521,3.508,3.797,92.571,0.124,0
3.886,3.431,92.600,0.083,0,0,1376256,1872,1872,0,0,8688,13539,1,0,193,8140955648,21758173184,2168688640,32187674624,0,0,0,1376256,8686,13535,3.891,3.435,92.591,0.083,0
3.514,3.514,92.890,0.083,0,20480,1798144,624,624,0,0,9376,13595,2,0,217,8142299136,23675723776,2168729600,30294532096,0,0,20480,1798144,9380,13603,3.509,3.509,92.898,0.083,0
3.957,3.124,92.711,0.208,0,12288,2641920,624,624,0,0,11463,17431,6,0,285,8142372864,24111763456,2168770560,29866999808,0,0,12288,2641920,11461,17452,3.963,3.129,92.699,0.209,0
5.362,1.787,92.727,0.125,0,0,5107712,1248,1248,0,0,10735,16256,1,0,272,8140738560,24116424704,2168786944,29866057728,0,0,0,5107712,10741,16245,5.359,1.786,92.730,0.125,0
4.695,3.501,91.722,0.082,0,4096,835584,1872,1872,0,0,13299,20242,1,0,403,8124813312,24132177920,2168803328,29866479616,0,0,4096,835584,13293,20228,4.689,3.497,91.732,0.082,0
5.514,2.778,89.967,1.741,0,0,31895552,2144,2181,0,0,6385,11980,0,1,117,8150958080,24078868480,2168819712,29893255168,0,0,0,31895552,6393,11996,5.521,2.781,89.954,1.743,0
9.220,7.259,81.769,1.752,0,0,6311936,624,1711,0,0,18009,43482,2,2,508,8248659968,23979937792,2168877056,29893644288,0,0,0,6311936,18000,43464,9.220,7.259,81.769,1.752,0
8.416,3.151,85.365,3.068,0,389120,28098560,3642,8976,0,0,8352,15070,2,2,268,8376352768,23825805312,2168958976,29915934720,0,0,389120,28098560,8352,15070,8.413,3.150,85.329,3.108,0
17.891,3.902,74.969,3.238,0,1036288,31051776,1488,13459,0,0,12281,28891,4,0,294,8518901760,23672344576,2169020416,29924036608,0,0,1036288,31051776,12282,28889,17.884,3.900,75.021,3.195,0
21.393,3.339,75.103,0.165,0,110592,5001216,2021,7912,0,0,9308,38559,6,0,130,8649195520,23566245888,2169020416,29898051584,0,0,110592,5001216,9307,38627,21.420,3.343,75.072,0.165,0
28.518,6.149,63.805,1.527,0,8192,54804480,1952,5921,0,0,8013,70895,7,0,88,8821317632,23240089600,2169081856,30047223808,0,0,8192,54804480,8020,70913,28.518,6.149,63.805,1.527,0
34.292,3.208,62.208,0.292,0,16384,1011712,11794,14402,0,0,7263,24790,15,0,40,8931651584,23123963904,2169110528,30051397632,0,0,16384,1011712,7255,24720,34.306,3.210,62.193,0.292,0
38.762,1.994,59.161,0.083,0,0,1130496,976,5619,0,0,7068,18883,10,0,27,9089970176,22959644672,2169114624,30057213952,0,0,0,1130496,7068,18867,38.762,1.994,59.161,0.083,0
18.182,1.418,79.608,0.792,0,4489216,23580672,1376,2005,0,0,4902,8965,1,0,42,9110921216,22931812352,2169118720,30063788032,0,0,4489216,23580672,4902,8965,18.159,1.416,79.633,0.791,0
4.581,1.541,93.836,0.042,0,212992,126976,4519,5866,0,0,3500,4809,2,0,45,8952053760,23089954816,2169118720,30064021504,0,0,212992,126976,3500,4809,4.578,1.540,93.841,0.042,0
4.738,1.579,93.641,0.042,0,0,774144,1872,2956,0,0,2705,3467,1,0,21,9008594944,23033327616,2169118720,30064025600,0,0,0,1028096,2709,3477,4.778,1.579,93.602,0.042,0
