"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_24_thread.csv",,,,"Date:","13 May 2019 17:45:09 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
21.278,4.237,72.546,1.939,0,861733.779,34155796.784,0,0,0,0,9542.001,28142.656,1,0,162.292,4446658560,24228876288,2325946368,33339895808,0,0,861733.779,34155796.784,9542.001,28142.656,21.278,4.237,72.546,1.939,0
4.606,2.282,93.029,0.083,0,0,1245184,0,0,0,0,6908,11304,1,0,185,4489502720,24193069056,2325954560,33334251520,0,0,0,1245184,6924,11306,4.643,2.280,92.993,0.083,0
3.763,2.854,93.259,0.124,0,0,1736704,0,0,0,0,9428,14635,3,0,269,4489052160,24559013888,2325962752,32976470016,0,0,0,1736704,9444,14671,3.719,2.893,93.264,0.124,0
3.531,2.576,93.810,0.083,0,0,1327104,0,0,0,0,9051,13166,0,0,216,4487852032,25927524352,2325975040,31642435584,0,0,0,1327104,9046,13176,3.536,2.579,93.802,0.083,0
4.163,3.215,92.539,0.082,0,0,1654784,0,0,0,0,9374,14405,1,0,260,4491403264,26718445568,2325983232,30868680704,0,0,0,1654784,9347,14357,4.156,3.210,92.551,0.082,0
3.988,2.659,93.145,0.208,0,0,1617920,0,0,0,0,10206,15223,2,0,286,4488523776,26795061248,2325991424,30796824576,0,0,0,1617920,10231,15244,3.997,2.623,93.172,0.208,0
4.772,3.373,91.773,0.082,0,0,364544,0,0,0,0,10795,16719,1,0,363,4473327616,26783645696,2326003712,30823743488,0,0,0,364544,10770,16700,4.762,3.407,91.749,0.082,0
4.431,2.258,91.931,1.380,0,0,38989824,253,322,0,0,6332,13105,1,4,130,4500180992,26755891200,2326016000,30824062976,0,0,0,38993920,6346,13107,4.477,2.259,91.841,1.423,0
10.004,7.152,81.563,1.282,0,0,3014656,2938,4922,0,0,19100,48060,6,0,627,4601696256,26651226112,2326024192,30824488960,0,0,0,3010560,19110,48073,10.004,7.193,81.563,1.240,0
8.993,2.888,84.818,3.300,0,0,37474304,160,4595,0,0,6847,11389,3,1,178,4750364672,26476236800,2326093824,30847082496,0,0,0,37478400,6826,11398,9.035,2.805,84.818,3.342,0
19.016,3.886,74.287,2.811,0,0,21667840,240,15032,0,0,11247,31316,5,1,263,4888584192,26328432640,2326134784,30853476352,0,0,0,21663744,11247,31290,19.057,3.886,74.287,2.770,0
23.029,3.302,73.050,0.619,0,0,13762560,80,5548,0,0,8250,38770,9,0,112,5027422208,26212835328,2326167552,30827950080,0,0,0,13762560,8250,38829,23.071,3.302,73.009,0.619,0
29.269,5.553,63.299,1.879,0,0,44306432,160,3654,0,0,7939,67658,14,0,89,5232254976,25854312448,2326192128,30976598016,0,0,0,44306432,7936,67613,29.304,5.586,63.235,1.876,0
33.761,2.527,63.546,0.166,0,16384,757760,11240,13729,0,0,6456,21747,9,0,31,5325336576,25755865088,2326204416,30980837376,0,0,16384,757760,6456,21737,33.706,2.488,63.640,0.166,0
45.420,2.165,52.373,0.042,0,0,376832,282,5056,0,0,6571,17006,4,0,22,5436633088,25638289408,2326212608,30986829824,0,0,0,376832,6571,17002,45.394,2.168,52.397,0.042,0
6.421,2.237,90.721,0.621,0,4489216,23261184,128,1032,0,0,3489,5713,2,0,57,5234057216,25834053632,2326228992,30993371136,0,0,4489216,23261184,3489,5713,6.374,2.235,90.770,0.621,0
5.108,1.246,93.646,0,0,0,0,2647,3854,0,0,2113,3258,1,0,17,5264048128,25803628544,2326228992,30993379328,0,0,0,0,2113,3258,5.064,1.287,93.649,0,0
4.203,0.583,95.131,0.083,0,0,1290240,0,1223,0,0,2170,5030,2,0,30,5322563584,25745055744,2326241280,30993399808,0,0,0,1290240,2170,5030,4.250,0.542,95.125,0.083,0
0.542,1.251,98.207,0,0,0,0,82445,145751,0,0,1659,2712,0,0,6,5324550144,25742962688,2326241280,30993498112,0,0,0,0,1659,2712,0.500,1.250,98.250,0,0
0.582,1.206,98.211,0,0,0,0,48915,82483,0,0,1604,2545,0,0,10,5325004800,25742409728,2326241280,30993514496,0,0,0,0,1605,2547,0.582,1.247,98.170,0,0
