"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_2_thread.csv",,,,"Date:","13 May 2019 19:16:53 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
22.581,4.388,70.953,2.077,0,885112.269,35220436.818,0,0,174.788,663.696,9860.051,28503.017,1,0,171.125,3632832512,14964580352,2277703680,42937528320,174.788,663.696,885112.269,35220436.818,9860.052,28503.017,22.581,4.388,70.953,2.077,0
5.041,2.562,92.355,0.041,0,0,1069056,0,0,0,0,5680,9556,1,0,142,3678978048,14922059776,2277703680,42934702080,0,0,0,1069056,5673,9568,5.039,2.561,92.359,0.041,0
4.581,2.641,92.695,0.083,0,0,3383296,80,80,0,0,9960,13748,1,0,252,3686637568,14941614080,2277736448,42919710720,0,0,0,3383296,9952,13730,4.575,2.638,92.704,0.082,0
2.907,2.907,93.854,0.332,0,0,2707456,64,64,0,0,9581,14163,2,0,243,3673878528,15973662720,2277740544,41919090688,0,0,0,2707456,9581,14163,2.911,2.911,93.846,0.333,0
4.260,2.316,93.383,0.041,0,0,1515520,0,0,0,0,6498,11157,1,0,169,3689009152,17294262272,2277740544,40614461440,0,0,0,1515520,6514,11201,4.254,2.313,93.391,0.041,0
2.156,4.312,93.491,0.041,0,0,2355200,0,0,0,0,8114,11827,2,0,177,3669942272,20895559680,2277756928,37123018752,0,0,0,2355200,8099,11801,2.159,4.317,93.483,0.042,0
5.702,6.612,87.603,0.083,0,0,1609728,0,0,0,0,8964,17110,0,1,197,3702644736,22546092032,2277761024,35474915328,0,0,0,1609728,8964,17097,5.702,6.612,87.603,0.083,0
3.281,3.239,93.355,0.125,0,0,3248128,0,0,0,0,10660,15651,1,0,287,3702333440,23174893568,2277769216,34867093504,0,0,0,3248128,10659,15646,3.277,3.235,93.364,0.124,0
4.803,2.857,92.215,0.124,0,0,2535424,0,0,0,0,10574,17594,2,0,310,3685675008,23223779328,2277781504,34839674880,0,0,0,2535424,10574,17594,4.809,2.861,92.206,0.124,0
4.071,2.867,93.020,0.042,0,0,634880,0,0,0,0,11208,17089,1,0,357,3684503552,23199674368,2277781504,34866429952,0,0,0,634880,11208,17089,4.066,2.863,93.029,0.041,0
5,2.625,90.708,1.667,0,0,37756928,160,340,0,0,6843,14393,0,0,120,3709042688,23174549504,2277785600,34866774016,0,0,0,37756928,6843,14393,4.998,2.624,90.712,1.666,0
9.125,5.986,84.261,0.628,0,0,2433024,2938,4428,0,0,19483,46404,3,0,657,3819278336,23058141184,2277789696,34869075968,0,0,0,2433024,19483,46411,9.140,5.996,84.235,0.629,0
18.812,3.589,75.289,2.310,0,0,52060160,80,9092,0,0,9725,29096,8,2,198,3995295744,22855368704,2277814272,34891632640,0,0,0,52322304,9736,29123,18.820,3.591,75.279,2.311,0
22.287,3.368,72.807,1.538,0,0,8593408,240,10238,0,0,11610,32982,5,1,238,4202143744,22670368768,2277847040,34868744192,0,0,0,8437760,11599,32948,22.268,3.365,72.829,1.537,0
34.957,2.972,61.659,0.413,0,0,1298432,160,6768,0,0,6642,43542,10,0,56,4357599232,22510628864,2277855232,34870214656,0,0,0,1191936,6642,43572,34.986,2.974,61.627,0.413,0
44.601,6.063,48.256,1.080,0,0,54378496,240,3591,0,0,7952,68811,14,1,25,4568875008,22042083328,2277863424,35123666944,0,0,0,54382592,7955,68805,44.583,6.061,48.236,1.121,0
40.449,3.829,55.347,0.375,0,16384,1740800,9839,13944,0,0,6518,14076,1,0,56,4634718208,22076030976,2277863424,35023400960,0,0,16384,1736704,6515,14052,40.399,3.824,55.445,0.333,0
4.904,1.413,93.475,0.208,0,0,299008,4088,6297,0,0,1690,2201,2,0,10,4654149632,22048346112,2277863424,35031572480,0,0,0,299008,1690,2201,4.906,1.414,93.472,0.208,0
3.877,1.000,94.539,0.584,0,4489216,23232512,128,1182,0,0,2604,4546,4,0,53,4501491712,22196240384,2277863424,35036008448,0,0,4489216,23232512,2604,4546,3.880,1.001,94.535,0.584,0
4.623,1.125,94.252,0,0,0,0,202,1204,0,0,1635,2181,1,0,7,4515385344,22182154240,2277863424,35036020736,0,0,0,0,1635,2181,4.621,1.124,94.255,0,0
3.082,1.208,95.668,0.042,0,0,1261568,2573,3452,0,0,1578,2592,0,0,24,4558942208,22138519552,2277863424,35036024832,0,0,0,1261568,1578,2592,3.078,1.206,95.674,0.042,0
1.042,1.417,97.542,0,0,0,0,58823,105847,0,0,2100,4133,0,0,23,4559167488,22138732544,2277863424,35036057600,0,0,0,0,2100,4133,1.042,1.417,97.541,0,0
0.417,1.168,98.415,0,0,0,0,55090,93407,0,0,1255,2231,0,0,5,4559515648,22138507264,2277863424,35036172288,0,0,0,0,1255,2231,0.417,1.167,98.416,0,0
0.250,0.083,99.666,0,0,0,0,74056,131860,0,0,1012,1894,2,0,5,4559859712,22138068992,2277863424,35036233728,0,0,0,0,1012,1894,0.251,0.084,99.666,0,0
0.417,1.084,98.499,0,0,0,0,56733,98666,0,0,1129,1796,0,0,0,4560769024,22137106432,2277863424,35036286976,0,0,0,0,1129,1796,0.417,1.084,98.499,0,0
0.459,1.292,98.208,0.042,0,0,77824,57936,98814,0,0,1509,2654,1,0,5,4560326656,22137532416,2277863424,35036319744,0,0,0,77824,1510,2656,0.459,1.292,98.208,0.042,0
0.748,1.206,98.046,0,0,0,0,118771,216888,0,0,1453,2075,0,0,5,4562313216,22135545856,2277863424,35036319744,0,0,0,0,1452,2073,0.748,1.206,98.046,0,0
0.666,0.958,98.376,0,0,0,0,116565,212436,0,0,1295,2109,1,0,5,4562919424,22134599680,2277863424,35036659712,0,0,0,0,1295,2109,0.666,0.958,98.376,0,0
0.250,0.376,99.374,0,0,0,0,50963,87125,0,0,1008,1849,1,0,0,4562575360,22134902784,2277863424,35036700672,0,0,0,0,1009,1851,0.250,0.375,99.374,0,0
2.875,1.667,95.375,0.083,0,0,2252800,17062,31268,0,0,2500,6400,1,0,25,4500828160,22196887552,2277867520,35036311552,0,0,0,2252800,2500,6400,2.876,1.667,95.373,0.083,0
4.691,1.287,94.022,0,0,0,0,0,252,0,0,1433,1758,1,0,9,4521259008,22176616448,2277867520,35036102656,0,0,0,0,1432,1756,4.691,1.287,94.022,0,0
3.199,1.329,95.430,0.042,0,0,1245184,74,326,0,0,1829,2954,0,0,23,4552339456,22145482752,2277871616,35036110848,0,0,0,1245184,1829,2954,3.199,1.329,95.430,0.042,0
0.334,0.959,98.707,0,0,0,0,624,1128,0,0,1089,1731,2,0,12,4521902080,22175895552,2277871616,35036135424,0,0,0,0,1089,1731,0.334,0.960,98.706,0,0
0.376,0.334,99.290,0,0,0,0,0,504,0,0,751,1260,0,0,2,4520144896,22177660928,2277871616,35036135424,0,0,0,0,751,1260,0.375,0.334,99.291,0,0
0.167,1.335,98.498,0,0,0,0,0,504,0,0,1021,1492,0,0,7,4519948288,22177857536,2277871616,35036135424,0,0,0,0,1021,1492,0.167,1.335,98.498,0,0
0.167,1.292,98.541,0,0,0,0,0,252,0,0,883,1192,0,0,7,4520083456,22177722368,2277871616,35036135424,0,0,0,0,883,1192,0.167,1.292,98.541,0,0
0.250,1.168,98.582,0,0,0,69632,0,252,0,0,970,1379,0,0,7,4519641088,22178160640,2277871616,35036139520,0,0,0,69632,970,1379,0.250,1.168,98.582,0,0
0.250,0.500,99.249,0,0,0,12288,624,876,0,0,700,1293,1,0,7,4520484864,22177316864,2277871616,35036139520,0,0,0,12288,700,1293,0.251,0.501,99.248,0,0
0.083,0.709,99.208,0,0,0,0,0,0,0,0,764,1057,1,0,2,4519436288,22178365440,2277871616,35036139520,0,0,0,0,766,1090,0.083,0.708,99.209,0,0
0.250,1.250,98.500,0,0,0,0,0,0,0,0,954,1309,0,0,7,4519968768,22177832960,2277871616,35036139520,0,0,0,0,952,1276,0.250,1.250,98.500,0,0
0.250,1.167,98.583,0,0,0,0,269,339,0,0,940,1338,0,0,7,4520321024,22177460224,2277871616,35036143616,0,0,0,0,940,1338,0.250,1.168,98.582,0,0
0.208,1.125,98.667,0,0,0,53248,0,630,0,0,1040,1636,0,0,11,4516847616,22180933632,2277871616,35036143616,0,0,0,53248,1040,1636,0.208,1.124,98.668,0,0
0.292,0.458,99.250,0,0,0,0,624,694,0,0,770,1279,2,0,7,4517097472,22180683776,2277871616,35036143616,0,0,0,0,770,1279,0.292,0.459,99.249,0,0
0.167,1,98.792,0.042,0,0,2392064,0,1310,0,0,1300,1192,0,0,2,4516864000,22180917248,2277871616,35036143616,0,0,0,2392064,1300,1192,0.166,0.999,98.793,0.042,0
0.208,1.251,98.541,0,0,0,0,0,375,0,0,955,1382,0,0,7,4516741120,22181036032,2277871616,35036147712,0,0,0,0,955,1382,0.208,1.251,98.541,0,0
0.416,1.207,98.377,0,0,0,0,302,842,0,0,1050,1407,0,0,8,4516659200,22181117952,2277871616,35036147712,0,0,0,0,1050,1407,0.416,1.207,98.377,0,0
0.208,1.042,98.749,0,0,0,139264,0,252,0,0,721,1150,3,0,7,4517027840,22180749312,2277871616,35036147712,0,0,0,139264,722,1163,0.209,1.043,98.748,0,0
2.791,0.500,96.418,0.292,0,0,638976,13627,13879,0,0,2105,5029,1,1,43,4542644224,22154346496,2277871616,35036180480,0,0,0,638976,2104,5016,2.787,0.499,96.423,0.291,0
4.906,1.580,93.514,0,0,0,5566464,261,765,0,0,1602,2462,1,0,7,4607729664,22088077312,2277871616,35036209152,0,0,0,5566464,1602,2462,4.906,1.580,93.514,0,0
1.997,1.539,95.175,1.290,0,65536,11968512,58619,59123,0,0,2637,4333,1,0,13,4618264576,22076321792,2277883904,35036622848,0,0,65536,11968512,2645,4343,1.993,1.537,95.183,1.287,0
4.071,1.745,93.477,0.706,0,0,3592192,140477,140981,0,0,3026,8803,1,0,9,4643201024,22051540992,2277888000,35036364800,0,0,0,3592192,3018,8799,4.078,1.748,93.467,0.707,0
5.401,1.786,92.813,0,0,0,0,238752,239004,0,0,2378,8531,2,0,7,4718346240,21976391680,2277888000,35036368896,0,0,0,0,2378,8533,5.408,1.789,92.804,0,0
3.539,0.708,95.754,0,0,0,0,132307,132559,0,0,1824,8217,1,0,2,4749041664,21945688064,2277888000,35036377088,0,0,0,0,1824,8227,3.534,0.707,95.759,0,0
3.286,1.664,95.050,0,0,0,0,128910,129162,0,0,2225,8785,0,0,7,4781854720,21912870912,2277888000,35036381184,0,0,0,0,2226,8778,3.286,1.664,95.050,0,0
2.674,1.630,95.696,0,0,0,4096,136130,136130,0,0,2040,8509,1,0,7,4815007744,21879705600,2277888000,35036393472,0,0,0,4096,2040,8507,2.673,1.629,95.698,0,0
3.239,1.495,95.266,0,0,0,69632,135892,135892,0,0,2229,8112,1,0,7,4844687360,21850025984,2277888000,35036393472,0,0,0,69632,2229,8113,3.241,1.496,95.264,0,0
2.840,1.337,95.823,0,0,0,0,140048,140048,0,0,1960,8499,1,0,7,4876742656,21817970688,2277888000,35036393472,0,0,0,0,1959,8500,2.843,1.338,95.819,0,0
3.627,0.709,95.665,0,0,0,12288,137137,137137,0,0,2133,9438,1,0,2,4897824768,21796884480,2277888000,35036397568,0,0,0,12288,2133,9437,3.623,0.708,95.668,0,0
3.659,1.830,94.262,0.249,0,0,561152,335853,335853,0,0,4020,10779,1,1,52,4465582080,22229024768,2277892096,35036438528,0,0,0,561152,4021,10771,3.664,1.832,94.255,0.250,0
4.283,2.661,92.599,0.457,0,0,6860800,0,0,0,0,6803,25711,1,0,90,4489465856,22163128320,2277908480,35078430720,0,0,0,6860800,6802,25731,4.277,2.658,92.608,0.457,0
3.639,2.551,93.601,0.209,0,0,958464,0,0,0,0,4978,23959,2,0,59,4490899456,22101258240,2277908480,35138859008,0,0,0,958464,4981,23962,3.639,2.551,93.601,0.209,0
4.393,1.883,93.724,0,0,0,0,0,0,0,0,3204,27572,2,0,6,4491165696,21987319808,2277908480,35252531200,0,0,0,0,3202,27569,4.397,1.884,93.719,0,0
4.597,2.048,93.356,0,0,0,0,0,0,0,0,3704,26881,1,0,2,4490452992,21823987712,2277908480,35416576000,0,0,0,0,3705,26883,4.593,2.046,93.361,0,0
4.441,2.430,93.129,0,0,0,0,0,0,0,0,3481,26114,4,0,7,4491026432,21660139520,2277908480,35579850752,0,0,0,0,3479,26137,4.441,2.430,93.129,0,0
2.456,2.082,93.297,2.165,0,114688,107646976,0,0,0,0,5630,14303,0,0,59,4489420800,21606563840,2277916672,35635032064,0,0,114688,107646976,5630,14256,2.456,2.082,93.297,2.165,0
3.591,2.422,93.528,0.459,0,19808256,1634304,0,0,0,0,6141,21327,1,0,83,4445106176,21593104384,2277924864,35692797952,0,0,19808256,1634304,6141,21327,3.591,2.422,93.528,0.459,0
2,0.750,97.250,0,0,0,0,0,0,0,0,1366,2138,2,0,17,4465573888,21545885696,2277924864,35719548928,0,0,0,0,1366,2138,2.003,0.751,97.247,0,0
0.375,0.708,98.917,0,0,0,0,0,0,0,0,843,1385,0,0,2,4465766400,21545693184,2277924864,35719548928,0,0,0,0,843,1385,0.374,0.707,98.918,0,0
0.167,1.376,98.457,0,0,0,0,0,0,0,0,1016,1450,0,0,7,4465594368,21545877504,2277924864,35719553024,0,0,0,0,1016,1450,0.167,1.376,98.457,0,0
0.416,1.248,97.170,1.165,0,0,78970880,0,0,0,0,1197,1138,0,1,7,4465557504,21545910272,2277928960,35719553024,0,0,0,79691776,1197,1138,0.416,1.248,97.170,1.165,0
0.167,1.295,96.615,1.922,0,0,204480512,0,70,0,0,1746,1460,0,0,7,4465586176,21545877504,2277933056,35719553024,0,0,0,203759616,1746,1460,0.167,1.295,96.617,1.921,0
0.209,0.209,99.583,0,0,0,12288,0,0,0,0,697,1380,2,0,7,4465311744,21546151936,2277933056,35719553024,0,0,0,12288,701,1429,0.209,0.209,99.583,0,0
0.208,1.041,98.751,0,0,0,0,0,0,0,0,776,1015,0,0,2,4465106944,21546356736,2277933056,35719553024,0,0,0,0,772,966,0.208,1.041,98.751,0,0
0.209,1.251,98.540,0,0,0,0,0,630,0,0,1019,1591,0,0,7,4464062464,21547401216,2277933056,35719553024,0,0,0,0,1019,1591,0.209,1.251,98.540,0,0
1.248,1.207,97.545,0,0,0,0,0,70,0,0,1230,2149,0,0,13,4465008640,21546455040,2277933056,35719553024,0,0,0,0,1230,2149,1.248,1.207,97.545,0,0
0.167,1.084,98.749,0,0,0,0,0,750,0,0,704,1168,1,0,7,4465623040,21545836544,2277933056,35719557120,0,0,0,0,704,1168,0.167,1.085,98.748,0,0
1.669,1.043,97.038,0.250,0,0,3010560,18446744073708525568,18446744073708951552,0,0,4676,8357,1,0,49,4460773376,21554368512,2277949440,35719737344,0,0,0,3698688,4676,8357,1.667,1.042,97.040,0.250,0
4.297,3.296,90.154,2.253,0,0,69165056,18446744073709514752,18446744073709279232,0,0,10557,20659,1,0,128,3817050112,22202785792,2277961728,35719483392,0,0,0,68476928,10571,20679,4.290,3.332,90.129,2.249,0
2.367,2.159,95.183,0.291,0,16384,2662400,18446744073709012992,18446744073708294144,0,0,6261,10059,0,0,52,3723997184,22300073984,2277965824,35719499776,0,0,16384,2662400,6247,10039,2.371,2.121,95.216,0.291,0
3.696,2.990,93.065,0.249,0,0,2465792,18446744073709451264,18446744073708980224,0,0,8350,14896,2,0,186,3706220544,22778990592,2277982208,35265495040,0,0,0,2465792,8392,14957,3.701,2.994,93.056,0.249,0
4.208,3.012,92.781,0,0,0,0,0,0,0,0,9337,13422,2,0,290,3700940800,22756900864,2277982208,35292864512,0,0,0,0,9295,13361,4.208,3.012,92.781,0,0
4.931,2.967,89.720,2.382,0,0,35033088,304,530,0,0,8008,20772,2,2,163,3741396992,22716162048,2278006784,35293106176,0,0,0,35033088,8022,20816,4.929,2.966,89.724,2.381,0
7.193,5.572,84.491,2.744,0,0,60387328,0,1620,0,0,17392,38614,0,2,510,3807145984,22577188864,2278019072,35362545664,0,0,0,60387328,17378,38570,7.193,5.572,84.449,2.786,0
18.633,2.793,76.657,1.917,0,0,64872448,160,8616,0,0,7442,26956,2,3,76,3996438528,22279311360,2278023168,35469754368,0,0,0,65593344,7445,27274,18.648,2.795,76.679,1.877,0
17.739,4.455,71.617,6.188,0,7569408,88489984,160,9661,0,0,9212,35059,4,3,122,4181331968,22061703168,2278043648,35500892160,0,0,7618560,87769088,9211,34746,17.732,4.454,71.629,6.186,0
24.639,3.426,70.945,0.991,0,163840,3325952,80,6158,0,0,11031,36432,9,0,227,4284665856,21984083968,2278055936,35473760256,0,0,114688,3325952,11030,36433,24.649,3.427,70.933,0.991,0
32.734,2.258,64.339,0.669,0,0,6602752,0,2285,0,0,6078,22771,12,0,23,4430475264,21830451200,2278072320,35479187456,0,0,0,6602752,6077,22793,32.734,2.258,64.339,0.669,0
