"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_1_thread.csv",,,,"Date:","13 May 2019 19:54:00 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
21.469,4.188,72.339,2.004,0,847014.679,33741402.669,0,0,153.896,584.366,9537.606,27497.035,2,0,164.890,3788783616,14654189568,2299891712,42989834240,153.896,584.366,847014.679,33741402.669,9537.607,27497.036,21.469,4.188,72.339,2.004,0
5.307,2.073,92.620,0,0,0,1073152,0,0,0,0,6006,9564,1,0,127,3826368512,14621757440,2299891712,42986242048,0,0,0,1073152,6009,9557,5.252,2.068,92.680,0,0
3.819,2.989,93.068,0.125,0,0,3481600,80,80,0,0,9275,13608,1,0,254,3842646016,14631059456,2299891712,42971770880,0,0,0,3481600,9257,13608,3.829,2.996,93.050,0.125,0
3.717,2.974,93.267,0.041,0,0,2490368,64,64,0,0,9155,14305,2,0,237,3846152192,15575261184,2299895808,42042585088,0,0,0,2490368,9176,14353,3.679,2.976,93.303,0.041,0
4.106,2.240,93.613,0.041,0,0,1703936,0,0,0,0,6946,11167,2,0,163,3843776512,16984317952,2299899904,40666378240,0,0,0,1703936,6940,11147,4.103,2.238,93.618,0.041,0
2.201,4.070,93.688,0.042,0,0,2125824,0,0,0,0,8375,11788,1,0,188,3826876416,20592156672,2299899904,37171965952,0,0,0,2125824,8361,11764,2.237,4.101,93.621,0.041,0
4.794,7.670,87.536,0,0,0,1318912,0,69,0,0,7444,18024,1,0,283,3864395776,22225539072,2299899904,35524259840,0,0,0,1318912,7448,18050,4.762,7.644,87.594,0,0
3.282,3.241,93.394,0.083,0,0,3207168,0,0,0,0,10951,16413,1,0,299,3863388160,22854684672,2299912192,34916724736,0,0,0,3207168,10946,16383,3.322,3.239,93.355,0.083,0
4.961,2.852,92.063,0.124,0,0,2314240,0,0,0,0,10055,16884,2,0,296,3853152256,22894063616,2299912192,34890096640,0,0,0,2314240,10055,16884,4.928,2.857,92.091,0.124,0
4.950,2.599,92.327,0.124,0,0,798720,0,0,0,0,11414,18542,1,0,388,3855454208,22886518784,2299924480,34898251776,0,0,0,798720,11414,18542,4.950,2.599,92.327,0.124,0
4.551,2.505,91.524,1.420,0,0,36356096,160,160,0,0,5649,12380,1,2,99,3869392896,22854397952,2299924480,34916229120,0,0,0,36356096,5667,12416,4.544,2.501,91.496,1.459,0
8.894,6.276,83.541,1.288,0,0,3235840,207,1486,0,0,19557,44448,4,0,606,3972612096,22746324992,2299928576,34918322176,0,0,0,3235840,19549,44435,8.902,6.281,83.569,1.248,0
17.106,3.215,76.834,2.844,0,0,37003264,160,7240,0,0,7711,27305,5,2,168,4125806592,22577475584,2299981824,34930745344,0,0,0,37003264,7701,27289,17.128,3.219,76.806,2.848,0
18.727,3.597,75.444,2.232,0,0,9650176,3098,12898,0,0,12950,34149,8,0,288,4201414656,22487855104,2300018688,34941689856,0,0,0,9650176,12950,34158,18.727,3.597,75.444,2.232,0
35.595,2.748,61.490,0.167,0,0,5050368,80,6426,0,0,7541,43272,7,0,95,4438679552,22272126976,2300018688,34917548032,0,0,0,5050368,7541,43302,35.631,2.782,61.420,0.166,0
39.244,6.478,53.779,0.498,0,0,1220608,80,4139,0,0,7225,65799,14,0,61,4665266176,21930868736,2300026880,35028353024,0,0,0,1220608,7226,65777,39.327,6.478,53.696,0.498,0
39.109,2.749,56.726,1.416,0,16384,56455168,13766,18150,0,0,6535,17665,2,0,35,4717932544,21840711680,2300030976,35064512512,0,0,16384,56455168,6534,17641,38.982,2.713,56.886,1.419,0
4.207,1.374,94.294,0.125,0,0,6733824,202,2216,0,0,1704,2729,1,0,12,4755816448,21794353152,2300030976,35072905216,0,0,0,6733824,1704,2729,4.205,1.374,94.296,0.125,0
4.825,1.082,93.885,0.208,0,4489216,32768,198,1116,0,0,1848,2760,2,0,28,4767412224,21774475264,2300030976,35081056256,0,0,4489216,32768,1848,2760,4.865,1.123,93.805,0.208,0
4.269,1.160,94.530,0.041,0,0,23199744,202,1479,0,0,2302,4252,1,0,32,4619923456,21917327360,2300035072,35085492224,0,0,0,23199744,2302,4252,4.269,1.119,94.571,0.041,0
4.623,1.249,94.127,0,0,0,0,2573,3452,0,0,1519,2049,1,0,10,4636827648,21900132352,2300035072,35085512704,0,0,0,0,1519,2049,4.585,1.251,94.164,0,0
2.994,1.331,95.593,0.083,0,0,1236992,624,1253,0,0,1650,2520,0,0,23,4677570560,21859368960,2300035072,35085516800,0,0,0,1236992,1650,2520,2.990,1.329,95.598,0.083,0
1.122,1.288,97.590,0,0,0,0,7356,11092,0,0,1990,3548,0,0,22,4676435968,21861117952,2300035072,35085545472,0,0,0,0,1990,3548,1.122,1.288,97.590,0,0
0.500,0.542,98.958,0,0,0,0,74282,134477,0,0,970,1865,1,0,5,4680171520,21857259520,2300035072,35085635584,0,0,0,0,970,1865,0.500,0.584,98.916,0,0
0.209,0.876,98.915,0,0,0,0,31653,53448,0,0,954,1856,0,0,0,4679536640,21857865728,2300035072,35085664256,0,0,0,0,954,1856,0.208,0.834,98.958,0,0
0.250,1.250,98.500,0,0,0,0,54844,98744,0,0,1072,1696,0,0,5,4679868416,21857488896,2300035072,35085709312,0,0,0,0,1072,1696,0.250,1.250,98.500,0,0
0.749,1.248,98.002,0,0,0,73728,76065,133040,0,0,1525,2358,0,0,5,4679598080,21857701888,2300035072,35085774848,0,0,0,73728,1525,2358,0.749,1.248,98.002,0,0
0.458,1.375,98.167,0,0,0,0,50213,85422,0,0,1322,2282,1,0,5,4680679424,21856432128,2300035072,35085955072,0,0,0,0,1322,2282,0.458,1.375,98.167,0,0
0.375,0.042,99.583,0,0,0,0,115502,209518,0,0,1046,1799,0,0,0,4681007104,21855928320,2300035072,35086131200,0,0,0,0,1046,1799,0.375,0.042,99.583,0,0
0.375,1.208,98.417,0,0,0,0,40121,69108,0,0,1178,1934,0,0,5,4681056256,21855887360,2300035072,35086131200,0,0,0,0,1178,1934,0.375,1.208,98.417,0,0
0.500,1.208,98.292,0,0,0,0,88290,163535,0,0,1285,1946,0,0,5,4682285056,21854511104,2300035072,35086278656,0,0,0,0,1285,1946,0.500,1.208,98.292,0,0
0.500,1.042,98.416,0.042,0,0,57344,66614,115944,0,0,1306,3115,2,0,6,4682502144,21854244864,2300039168,35086323712,0,0,0,57344,1312,3241,0.541,1.082,98.335,0.042,0
4.330,1.707,93.880,0.083,0,0,2211840,1434,2022,0,0,2562,5485,2,0,24,4611272704,21925986304,2300047360,35085713408,0,0,0,2211840,2557,5359,4.339,1.710,93.867,0.083,0
4.702,0.499,94.798,0,0,0,0,0,504,0,0,1375,1925,1,0,4,4630245376,21907013632,2300047360,35085721600,0,0,0,0,1375,1937,4.665,0.458,94.877,0,0
1.291,1.208,97.418,0.083,0,0,1245184,0,504,0,0,1495,2312,1,0,23,4640206848,21897027584,2300047360,35085729792,0,0,0,1245184,1494,2300,1.290,1.206,97.421,0.083,0
0.542,1.333,98.125,0,0,0,0,0,252,0,0,1204,2035,0,0,13,4641644544,21895536640,2300047360,35085750272,0,0,0,0,1204,2035,0.542,1.333,98.125,0,0
0.292,1.208,98.500,0,0,0,12288,624,876,0,0,888,1196,1,0,7,4641689600,21895487488,2300047360,35085754368,0,0,0,12288,888,1196,0.292,1.249,98.459,0,0
0.167,0.667,99.166,0,0,0,0,0,252,0,0,681,1307,1,0,7,4642045952,21895139328,2300047360,35085754368,0,0,0,0,682,1307,0.167,0.627,99.206,0,0
0.167,0.626,99.207,0,0,0,0,0,0,0,0,769,1357,0,0,2,4641177600,21895938048,2300047360,35085758464,0,0,0,0,769,1357,0.167,0.666,99.167,0,0
0.208,1.125,98.625,0.042,0,0,81920,0,0,0,0,805,1144,0,0,7,4641480704,21895630848,2300051456,35085758464,0,0,0,81920,805,1144,0.208,1.125,98.626,0.042,0
0.292,1.250,98.458,0,0,0,0,269,409,0,0,1013,1577,0,0,7,4641857536,21895254016,2300051456,35085758464,0,0,0,0,1014,1579,0.292,1.209,98.499,0,0
0.333,1.249,98.417,0,0,0,0,624,1324,0,0,1055,1654,0,0,11,4638711808,21898399744,2300051456,35085758464,0,0,0,0,1054,1652,0.333,1.249,98.418,0,0
0.250,0.416,99.334,0,0,0,0,0,490,0,0,654,1034,1,0,7,4638736384,21898375168,2300051456,35085758464,0,0,0,0,653,1034,0.250,0.459,99.291,0,0
0.208,0.917,98.875,0,0,0,4861952,0,750,0,0,1289,1605,0,0,2,4637077504,21900025856,2300051456,35085758464,0,0,0,4861952,1290,1605,0.208,0.874,98.918,0,0
0.250,1.416,98.334,0,0,0,151552,0,375,0,0,903,1376,0,0,7,4637495296,21899616256,2300051456,35085758464,0,0,0,151552,903,1376,0.250,1.416,98.334,0,0
0.250,1.083,98.667,0,0,0,0,93,470,0,0,840,1194,0,0,8,4637466624,21899640832,2300051456,35085762560,0,0,0,0,840,1194,0.250,1.083,98.667,0,0
0.457,1.289,98.254,0,0,0,12288,624,1071,0,0,949,1505,0,0,7,4637847552,21899259904,2300051456,35085762560,0,0,0,12288,949,1505,0.457,1.329,98.214,0,0
1.707,0.500,97.794,0,0,0,0,11099,11351,0,0,1452,4342,1,1,48,4658855936,21878009856,2300051456,35085799424,0,0,0,0,1452,4342,1.708,0.500,97.750,0.042,0
3.998,1.499,94.044,0.458,0,0,667648,2165,2669,0,0,1785,2381,1,0,2,4707151872,21828866048,2300059648,35085803520,0,0,0,667648,1785,2381,4.037,1.498,94.049,0.416,0
3.117,1.704,94.223,0.956,0,32768,15073280,21986,22490,0,0,2274,3842,1,1,12,4738129920,21796089856,2300071936,35086065664,0,0,32768,15073280,2276,3845,3.077,1.663,94.262,0.998,0
3.324,1.620,93.934,1.122,0,32768,5742592,128653,129157,0,0,2881,6961,1,0,11,4752601088,21781585920,2300084224,35085955072,0,0,32768,5742592,2879,6964,3.324,1.662,93.934,1.080,0
5.576,1.581,92.842,0,0,0,0,235584,235836,0,0,2242,8194,1,0,7,4827381760,21706678272,2300084224,35085991936,0,0,0,0,2242,8203,5.618,1.540,92.842,0,0
3.658,0.956,95.387,0,0,0,0,138077,138695,0,0,2024,9114,2,0,7,4860211200,21673832448,2300084224,35086000128,0,0,0,0,2023,9103,3.622,0.958,95.420,0,0
3.083,1.708,95.208,0,0,0,0,139827,139713,0,0,2095,8963,1,0,2,4893089792,21640929280,2300084224,35086008320,0,0,0,0,2101,8980,3.113,1.743,95.143,0,0
3.163,1.706,95.131,0,0,0,8192,134596,134596,0,0,2234,8632,0,0,7,4927438848,21606572032,2300084224,35086016512,0,0,0,8192,2228,8611,3.132,1.670,95.198,0,0
2.999,1.666,95.294,0.042,0,0,65536,137709,137709,0,0,2428,8700,1,0,7,4958269440,21575749632,2300088320,35086012416,0,0,0,65536,2430,8709,2.996,1.665,95.298,0.042,0
2.923,1.336,95.741,0,0,0,12288,135583,135583,0,0,2023,8147,2,0,7,4988452864,21545570304,2300088320,35086016512,0,0,0,12288,2021,8142,2.924,1.378,95.698,0,0
3.537,0.832,95.630,0,0,0,0,127603,127603,0,0,2007,8654,2,0,2,5011509248,21522497536,2300088320,35086016512,0,0,0,0,2008,8663,3.536,0.790,95.674,0,0
3.167,1.500,95.250,0.083,0,0,176128,127827,127827,0,0,2308,8153,1,0,7,5030772736,21503242240,2300092416,35086020608,0,0,0,176128,2308,8146,3.167,1.500,95.250,0.083,0
4.795,2.728,91.897,0.579,0,4096,7278592,256596,256596,0,0,7599,22418,2,0,122,4611948544,21910290432,2300186624,35097616384,0,0,4096,7278592,7604,22450,4.793,2.727,91.901,0.579,0
4.574,2.162,93.056,0.208,0,0,937984,0,0,0,0,5643,27201,1,0,62,4610412544,21840842752,2300203008,35168567296,0,0,0,937984,5637,27176,4.581,2.166,93.045,0.208,0
4.431,2.174,93.395,0,0,0,0,0,0,0,0,3108,25306,3,0,7,4611006464,21761171456,2300203008,35247644672,0,0,0,0,3108,25312,4.431,2.174,93.395,0,0
4.661,2.330,93.009,0,0,0,0,0,0,0,0,3249,25464,1,0,2,4610072576,21624823808,2300203008,35384909824,0,0,0,0,3252,25476,4.655,2.328,93.017,0,0
4.515,2.676,92.809,0,0,0,0,0,0,0,0,3664,27645,2,0,7,4611694592,21457354752,2300203008,35550756864,0,0,0,0,3663,27644,4.515,2.676,92.809,0,0
3.793,2.876,92.497,0.834,0,0,116047872,0,0,0,0,4533,24570,4,0,26,4584484864,21351817216,2300203008,35683512320,0,0,0,116047872,4840,24587,3.793,2.876,92.497,0.834,0
4.096,2.400,93.173,0.331,0,19922944,1724416,0,0,0,0,7783,24002,1,0,113,4565504000,21312536576,2300223488,35741777920,0,0,19922944,1724416,7475,23959,4.136,2.399,93.135,0.331,0
2.290,0.833,96.753,0.125,0,0,696320,0,0,0,0,1885,2922,1,0,20,4586926080,21263745024,2300223488,35769147392,0,0,0,696320,1884,2918,2.250,0.875,96.750,0.125,0
