"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:36:57 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.487,0.921,95.308,0.284,0,1349640.843,8569059.427,0,0,0,0,4362.658,11469.248,0,0,38.009,2143436800,58766929920,456663040,5700001792,0,0,1349640.843,8569059.427,4362.658,11469.248,3.487,0.921,95.308,0.284,0
0.166,0.791,99.043,0,0,0,0,70,0,0,0,500,873,1,0,5,2144382976,58765979648,456663040,5700005888,0,0,0,0,500,875,0.166,0.791,99.043,0,0
0.167,0.541,99.292,0,0,0,0,210,427,0,0,576,948,0,0,0,2144190464,58766041088,456663040,5700136960,0,0,0,0,577,946,0.166,0.541,99.293,0,0
0.416,1.125,98.459,0,0,0,0,160,70,0,0,876,1435,0,0,5,2143895552,58766336000,456663040,5700136960,0,0,0,0,876,1435,0.416,1.124,98.460,0,0


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.170,0.926,95.649,0.255,0,1211273.075,7712335.399,0,0,0,0,4004.878,10494.275,7,0,34.592,2102489088,58806153216,457023488,5700550656,0,0,1211273.075,7712335.399,4004.879,10494.285,3.170,0.926,95.649,0.255,0
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.170,0.926,95.649,0.255,0,1211273.075,7712335.399,0,0,0,0,4004.893,10494.329,7,0,34.592,2102489088,58806153216,457023488,5700550656,0,0,1211273.075,7712335.399,4004.894,10494.343,3.170,0.926,95.649,0.255,0


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:40:04 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.170,0.926,95.649,0.255,0,1211273.075,7712335.399,0,0,0,0,4004.903,10494.347,3,0,34.592,2102206464,58806435840,457023488,5700550656,0,0,1211273.075,7712335.399,4004.904,10494.347,3.170,0.926,95.649,0.255,0
3.170,0.926,95.649,0.255,0,1211266.455,7712293.245,0,0,0,0,4004.881,10494.289,3,0,34.592,2102206464,58806435840,457023488,5700550656,0,0,1211266.455,7712293.245,4004.882,10494.289,3.170,0.926,95.649,0.255,0
3.170,0.926,95.649,0.255,0,1211266.455,7712293.245,0,0,0,0,4004.882,10494.289,2,0,34.592,2102206464,58806435840,457023488,5700550656,0,0,1211266.455,7712293.245,4004.892,10494.292,3.170,0.926,95.649,0.255,0
3.170,0.926,95.649,0.255,0,1211266.455,7712293.245,0,0,0,0,4004.892,10494.292,1,0,34.592,2102206464,58806435840,457023488,5700550656,0,0,1211266.455,7712293.245,4004.894,10494.299,3.170,0.926,95.649,0.255,0
0.458,1.125,98.417,0,0,0,0,192,0,0,0,958,1128,0,0,5,2101895168,58806984704,457023488,5700501504,0,0,0,0,958,1111,0.457,1.123,98.420,0,0
